call_id,method,invite_time,response_times_ms,final_status,latency_ms,anomaly,latency_100,latency_180,latency_200,invite_to_180_gap,anomaly_flag
00000064-00001068-E3C73D10-7021@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.296201,"{'100': 2, '183': 5, '200': 3504}",200 OK,3504.0,True,2.0,,3504.0,,-1
0000032D-00001068-E3C73D10-7022@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.297737,"{'100': 2, '183': 25, '200': 3527}",200 OK,3527.0,True,2.0,,3527.0,,-1
000035B7-000004BC-DB2D1A8B-271@2001:1234:5678:9abc:2754:45:b700:0,INVITE,2015-08-05 15:57:19.317830,"{'100': 1010, '183': 1034, '200': 4541}",200 OK,4541.0,True,1010.0,,4541.0,,-1
000003BD-00001068-E3C73D10-7023@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.319738,"{'100': 1, '183': 19, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
00025C74-00000EA8-469F2D3E-7283@2001:1234:5678:9abc:279f:7d:c400:0,INVITE,2015-08-05 15:57:19.326194,"{'100': 1021, '183': 1078, '200': 2134}",200 OK,2134.0,True,1021.0,,2134.0,,-1
000035B8-000004BC-DB2D1A8B-272@2001:1234:5678:9abc:2754:45:b800:0,INVITE,2015-08-05 15:57:19.340192,"{'100': 1013, '183': 1018, '200': 4519}",200 OK,4519.0,True,1013.0,,4519.0,,-1
00000065-00001068-E3C73D10-7024@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.345535,"{'100': 1, '183': 22, '200': 3510}",200 OK,3510.0,True,1.0,,3510.0,,-1
000036A1-000004BC-DB2D1A8B-273@2001:1234:5678:9abc:2754:46:2100:0,INVITE,2015-08-05 15:57:19.367180,"{'100': 1024, '183': 1043, '200': 4544}",200 OK,4544.0,True,1024.0,,4544.0,,-1
0000007D-00001068-E3C73D10-7025@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.374026,"{'100': 2, '183': 4, '200': 3505}",200 OK,3505.0,True,2.0,,3505.0,,-1
000036B7-000004BC-DB2D1A8B-274@2001:1234:5678:9abc:2754:46:3700:0,INVITE,2015-08-05 15:57:19.393909,"{'100': 1012, '183': 1030, '200': 4517}",200 OK,4517.0,True,1012.0,,4517.0,,-1
000003BE-00001068-E3C73D10-7026@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.400272,"{'100': 1, '183': 14, '200': 3506}",200 OK,3506.0,True,1.0,,3506.0,,-1
00002021-000004BC-DB2D1A8B-275@2001:1234:5678:9abc:2754:3a:e100:0,INVITE,2015-08-05 15:57:19.415398,"{'100': 1011, '183': 1041, '200': 4539}",200 OK,4539.0,True,1011.0,,4539.0,,-1
000022B4-000004BC-DB2D1A8B-276@2001:1234:5678:9abc:2754:3c:3400:0,INVITE,2015-08-05 15:57:19.440028,"{'100': 1019, '183': 1047, '200': 4535}",200 OK,4535.0,True,1019.0,,4535.0,,-1
000003BF-00001068-E3C73D10-7027@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.444607,"{'100': 2, '183': 6, '200': 3504}",200 OK,3504.0,True,2.0,,3504.0,,-1
000002BD-00001068-E3C73D10-7028@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.447774,"{'100': 1, '183': 17, '200': 3504}",200 OK,3504.0,True,1.0,,3504.0,,-1
000022E2-000004BC-DB2D1A8B-277@2001:1234:5678:9abc:2754:3c:4200:0,INVITE,2015-08-05 15:57:19.470153,"{'100': 1013, '183': 1025, '200': 4519}",200 OK,4519.0,True,1013.0,,4519.0,,-1
00000125-00001068-E3C73D10-7029@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.477364,"{'100': 1, '183': 3, '200': 3508}",200 OK,3508.0,True,1.0,,3508.0,,-1
00002368-000004BC-DB2D1A8B-278@2001:1234:5678:9abc:2754:3c:8800:0,INVITE,2015-08-05 15:57:19.490748,"{'100': 1026, '183': 1062, '200': 4537}",200 OK,4537.0,True,1026.0,,4537.0,,-1
00000124-00001068-E3C73D10-7030@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.500906,"{'100': 1, '183': 32, '200': 3504}",200 OK,3504.0,True,1.0,,3504.0,,-1
00002373-000004BC-DB2D1A8B-279@2001:1234:5678:9abc:2754:3c:9300:0,INVITE,2015-08-05 15:57:19.527336,"{'100': 1026, '183': 1030, '200': 4530}",200 OK,4530.0,True,1026.0,,4530.0,,-1
00000127-00001068-E3C73D10-7031@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.529614,"{'100': 1, '183': 20, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
000023A6-000004BC-DB2D1A8B-280@2001:1234:5678:9abc:2754:3c:a600:0,INVITE,2015-08-05 15:57:19.540599,"{'100': 1019, '183': 1040, '200': 4540}",200 OK,4540.0,True,1019.0,,4540.0,,-1
000003E2-00001068-E3C73D10-7032@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.546782,"{'100': 1, '183': 16, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
000025F7-000004BC-DB2D1A8B-281@2001:1234:5678:9abc:2754:3d:d700:0,INVITE,2015-08-05 15:57:19.564975,"{'100': 1013, '183': 1022, '200': 4545}",200 OK,4545.0,True,1013.0,,4545.0,,-1
00000163-00001068-E3C73D10-7033@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.571518,"{'100': 2, '183': 21, '200': 3515}",200 OK,3515.0,True,2.0,,3515.0,,-1
00003AE4-000004BC-DB2D1A8B-282@2001:1234:5678:9abc:2754:48:4400:0,INVITE,2015-08-05 15:57:19.590288,"{'100': 1008, '183': 1054, '200': 4526}",200 OK,4526.0,True,1008.0,,4526.0,,-1
00000164-00001068-E3C73D10-7034@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.616957,"{'100': 1, '183': 3, '200': 3504}",200 OK,3504.0,True,1.0,,3504.0,,-1
